species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
9,blastoise,front_gfx,2048,f3e727b7ad5f219af91cab0c7a73cdb853770b49a746c0f5874de7212160172c,yes,0xD35638,0xD35630,0xD3562C,0xD35638,0xD35638,0xD35638,0xC35638
9,blastoise,back_gfx,2048,b88c8c7a2124072a459084a201576f5ddf16011030780a8ef22dc093defa272f,yes,0xD35B64,0xD35B5C,0xD35B58,0xD35B64,0xD35B64,0xD35B64,0xC35B64
9,blastoise,normal_pal,32,03304089e6064958259ca17819011b61ceefd3e8eb656fe97222f6139f3c6cc4,yes,0xD35B3C,0xD35B34,0xD35B30,0xD35B3C,0xD35B3C,0xD35B3C,0xC35B3C
9,blastoise,shiny_pal,32,931028540d776f9036b62f987857a37a7c1fc5b1fbd3f3a39e02f878b6b194e5,yes,0xD35F78,0xD35F70,0xD35F6C,0xD35F78,0xD35F78,0xD35F78,0xC35F78
10,caterpie,front_gfx,2048,2ea4c410a162b3c6d135ef839b1a2fd6e788e1cb174e28eba923bc21dc55504d,yes,0xD363C0,0xD363B8,0xD363B4,0xD363C0,0xD363C0,0xD363C0,0xC363C0
10,caterpie,back_gfx,2048,ea36ffcf2034390444e41363983ebdb8b6db7202d4a26fe82b7fabb9647128f8,yes,0xD36640,0xD36638,0xD36634,0xD36640,0xD36640,0xD36640,0xC36640
10,caterpie,normal_pal,32,382e70ba36bdef6f0db0c0b81e6cad276052408c23b91eebd4317ca221945c68,yes,0xD36618,0xD36610,0xD3660C,0xD36618,0xD36618,0xD36618,0xC36618
10,caterpie,shiny_pal,32,d89c47a6e199ea245111816f29d82ea2131d7728b13ff095d53ffffa696b4a34,yes,0xD368C8,0xD368C0,0xD368BC,0xD368C8,0xD368C8,0xD368C8,0xC368C8
11,metapod,front_gfx,2048,1fe30711ea00093214bc4ad21edd8bf864f4cf5a22c38a299de77445dec0ddd1,yes,0xD36D10,0xD36D08,0xD36D04,0xD36D10,0xD36D10,0xD36D10,0xC36D10
11,metapod,back_gfx,2048,975a5a5c192c058b95537e9ce07a560913c4280fbb23767515f127c36ca5b4df,yes,0xD36F4C,0xD36F44,0xD36F40,0xD36F4C,0xD36F4C,0xD36F4C,0xC36F4C
11,metapod,normal_pal,32,cf9ebbd202f5e8ab0d5f79d54295a4851813c71a53956fe5ed8bafeca4f68dbd,yes,0xD36F2C,0xD36F24,0xD36F20,0xD36F2C,0xD36F2C,0xD36F2C,0xC36F2C
11,metapod,shiny_pal,32,b01a2a24ea88cdcfb4dd8c0cb828c6a77a5a9476820d584cc09f402bfefc5f0c,yes,0xD37168,0xD37160,0xD3715C,0xD37168,0xD37168,0xD37168,0xC37168
12,butterfree,front_gfx,2048,5d1e4e1f2843670c0c3914754ba6fe87461d4507f0409b414a2270fbcb1ad069,yes,0xD375A8,0xD375A0,0xD3759C,0xD375A8,0xD375A8,0xD375A8,0xC375A8
12,butterfree,back_gfx,2048,b379b0dc9126d7f0c710474bec98e37c2947968b6c12ba024bb8926ac8b78fbb,yes,0xD37948,0xD37940,0xD3793C,0xD37948,0xD37948,0xD37948,0xC37948
12,butterfree,normal_pal,32,5e36d4c65cf302e632bc54780a33516de5ed15d21b9f5e3ba18dc55946e68fe8,yes,0xD37920,0xD37918,0xD37914,0xD37920,0xD37920,0xD37920,0xC37920
12,butterfree,shiny_pal,32,914698e94f2fc17befbe1ca976413426b08f21b768a156ffa4f518e50af7798c,yes,0xD37D4C,0xD37D44,0xD37D40,0xD37D4C,0xD37D4C,0xD37D4C,0xC37D4C
